,V1,V2
Traoré,-0.026745891,0.015152867
Macron,0.25508022,0.45018858
Barkhane,-0.46601012,-0.3559281
Déby,0.31405517,0.45479852
Nuland,-0.25047225,-0.18856953
Assa,0.3706242,-0.07823222
Ahmadou,-0.22750564,0.32735622
Erdoğan,-0.2403864,-0.08972786
Adama,0.14444707,0.049779348
Fleck,-0.4135309,-0.48742288
Washington,0.3683732,0.25469142
Foucher,0.33675182,0.038353868
Lassana,0.32137975,-0.174766
Wagner,-0.046713103,0.28867495
Trump,-0.3729997,-0.19189268
Charlie,-0.37546226,-0.04182346
Mélenchon,0.48113847,-0.36798763
Coulibaly,-0.11333912,-0.1042642
Monsieur,0.40033773,-0.3011854
Lerner,0.003068538,-0.23694935
Marianne,-0.48240566,0.25025108
Louis,-0.43863255,-0.2194898
Niang,-0.0024880704,-0.014628542
Président,-0.383656,0.48355433
Sarkozy,0.25093138,0.46997127
Mitterrand,-0.4089337,0.22289667
Francis,-0.20657775,0.04163479
Valls,0.42789057,-0.21215539
Sinclair,0.22603412,-0.3497572
Himmler,-0.17998235,0.4707248
